Timestamp,What platform do you currently use?,What platform do you prefer?,What type of games do you play?,What age group do you lie in?,Which region do you belong to?,What time do you usually play games at?,How long do you usually play everyday?,How much money do you usually spend on games per year?,How much have you spent on your gaming setup? (Not including games),Do you prefer minimalist or gamery aesthetics?
1/7/2020 7:26:08,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 5000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:30:26,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:38:00,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,13 to 18,Punjab,Late Night (10 PM to 5 AM),5 to 8 Hours,PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:43:15,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),1 to 3 Hours,PKR 10000,PKR 40000 to PKR 80000,Gamery (RGB and Aggressive Design)
1/7/2020 7:46:11,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Casual,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),1 to 3 Hours,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 7:52:32,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Night (8 PM to 10 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Minimalist (Clean and Simple)
1/7/2020 8:06:46,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,13 to 18,KPK,Night (8 PM to 10 PM),Less than 1 Hour,PKR 5000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:07:54,"PC (Windows, Linux, Other)","PC (Windows, Linux, Other)",Both,19 to 25,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,Less than PKR 1000,Less than PKR 40000,Gamery (RGB and Aggressive Design)
1/7/2020 8:17:05,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Both,19 to 25,Punjab,Late Night (10 PM to 5 AM),1 to 3 Hours,More than PKR 20000,PKR 80000 to PKR 100000,Gamery (RGB and Aggressive Design)
1/7/2020 8:25:58,"Console (Playstation, XBOX, Nintendo, Other)","Console (Playstation, XBOX, Nintendo, Other)",Casual,13 to 18,Punjab,Afternoon to Night (3 PM to 8 PM),Less than 1 Hour,,,Minimalist (Clean and Simple)
